,phone,word
139,a r c e t̪,"['arquette', 'arquet', 'arket']"
140,a r c i n,"['arkin', 'arquín']"
141,a r e s t̪ o,"['arresto', 'arrestó']"
142,a r e ɣ l o,"['arreglo', 'arregló']"
143,a r e ʎ,"['harrell', 'arrell']"
144,a r e θ i f e,"['arrecife', 'rrecife']"
145,a r i s,"['arris', 'arys']"
146,a r j e s ɣ o,"['arriesgó', 'arriesgo']"
147,a r j o,"['arrio', 'arrió']"
148,a r k,"['arch', 'ark', 'arc']"
149,a r k o s,"['harcos', 'arkos', 'arcos']"
150,a r k s,"['arx', 'arks', 'harks']"
151,a r l e s,"['arles', 'harles']"
152,a r l i,"['arly', 'harlie', 'harly']"
153,a r l o,"['arlow', 'arlo', 'harlot']"
154,a r l o t̪,"['harlotte', 'harlot']"
155,a r l o t̪ a,"['arlotta', 'arlota']"
156,a r m,"['harm', 'arm']"
157,a r m a,"['arma', 'harma']"
158,a r o k o,"['árroco', 'arroco']"
159,a r o u,"['rrow', 'arrow']"
160,a r o x a,"['aroja', 'arroja']"
161,a r o ʝ o,"['rroyo', 'arroyo']"
162,a r o ʝ o s,"['arroyos', 'rroyos']"
163,a r o θ,"['arroz', 'rroz']"
164,a r s,"['ars', 'arshal', 'houars']"
165,a r s a,"['arsa', 'arsá']"
166,a r s a l,"['arsal', 'arshal']"
167,a r s o,"['arso', 'arshal']"
168,a r s o n,"['arsson', 'arson']"
169,a r tʃ i β o,"['archivó', 'archivo']"
170,a r t̪,"['arth', 'hart', 'art']"
171,a r t̪ a,"['arta', 'harta', 'artha']"
172,a r t̪ a s,"['artas', 'hartas']"
173,a r t̪ a ɣ o,"['arthago', 'artago']"
174,a r t̪ i n,"['artín', 'artyn', 'artin']"
175,a r t̪ i n e θ,"['artínez', 'artinez']"
176,a r t̪ i θ a n,"['artizán', 'artizan']"
177,a r t̪ j e ɾ,"['artier', 'hartier']"
178,a r t̪ o,"['arto', 'harto']"
179,a r t̪ o n,"['arton', 'harton']"
180,a r ç e,"['arge', 'harge']"
181,a r ð,"['ard', 'hard']"
182,a r ð a,"['ardá', 'arda']"
183,a r ð i,"['ardy', 'arty']"
184,a r ð o,"['ardo', 'ardó']"
185,a r β a x a l,"['arvajal', 'arbajal']"
186,a r β a ɾ a,"['árbara', 'arbara']"
187,a r β e ɾ,"['arver', 'arber']"
188,a s a,"['asa', 'assa']"
189,a s a n,"['assan', 'asán', 'asan']"
190,a s a ɾ i,"['assari', 'asari']"
191,a s e i,"['asey', 'assey']"
192,a s e s i n o,"['asesino', 'asesinó']"
193,a s e ɾ,"['asser', 'aser']"
194,a s i k a,"['asica', 'ásica']"
195,a s i l o,"['asilo', 'asiló']"
196,a s k o ɲ j a,"['asconia', 'askonia']"
197,a s o,"['asso', 'aso', 'asó']"
198,a s t̪,"['ast', 'aast']"
199,a s t̪ a,"['hasta', 'asta']"
200,a s t̪ e ɾ,"['aster', 'áster']"
201,a s t̪ i ʎ a,"['astillaa', 'astilla']"
202,a s t̪ j a n,"['astian', 'astián']"
203,a s t̪ o n,"['astón', 'aston']"
204,a tʃ a,"['acha', 'achá', 'hacha']"
205,a tʃ e,"['hache', 'ache']"
206,a t̪ a,"['atta', 'ata']"
207,a t̪ a k a ɾ a,"['atacara', 'atacará']"
208,a t̪ a l,"['athal', 'atal']"
209,a t̪ a l a n,"['atalán', 'atalan']"
210,a t̪ a l j e,"['athalie', 'atalie']"
211,a t̪ a n,"['atán', 'athan']"
212,a t̪ e,"['ate', 'athet']"
213,a t̪ e n,"['aten', 'athaem']"
214,a t̪ e ð ɾ a l,"['athedral', 'atedral']"
215,a t̪ i,"['atí', 'ati', 'athy']"
216,a t̪ i k a,"['atica', 'ática']"
217,a t̪ i l d̪ e,"['athilde', 'atilde']"
218,a t̪ i n,"['atín', 'atin']"
219,a t̪ i s t̪ a,"['atista', 'attista']"
220,a t̪ i β a,"['ativa', 'átiva']"
221,a t̪ j a,"['attia', 'atia']"
222,a t̪ j a s,"['athias', 'atias']"
223,a t̪ l e,"['attle', 'atlle']"
224,a t̪ o,"['ato', 'ató']"
225,a t̪ s i,"['azzi', 'atsy']"
226,a t̪ u ɾ,"['atour', 'atur']"
227,a t̪ ɾ a k o,"['atraco', 'atracó']"
228,a t̪ ɾ a s,"['atras', 'atrás']"
229,a t̪ ʃ j o t̪ e,"['achiote', 'chiote']"
230,a u l,"['aul', 'aúl', 'aoul']"
231,a u l e s,"['owles', 'awless']"
232,a u m e n t̪ a ɾ a,"['aumentara', 'aumentará']"
233,a u m e n t̪ o,"['aumentó', 'aumento']"
234,a u n,"['aún', 'haun', 'aun']"
235,a u n a,"['aúna', 'auna']"
236,a u s,"['ouse', 'auss']"
237,a u s t̪ o,"['ousteau', 'austo']"
238,a u t̪,"['hout', 'out']"
239,a u t̪ e,"['outhhe', 'aute']"
240,a u ð i,"['audi', 'audí']"
241,a u θ e,"['aucete', 'auce']"
242,a w,"['aw', 'haw']"
243,a w a i,"['awái', 'awai']"
244,a w e l,"['ahuel', 'awel']"
245,a w n,"['awn', 'hawn']"
246,a x o,"['ajo', 'ajó']"
247,a x o ɲ j a l t̪ e m b u r ɣ o,"['ajonialtenburgo', 'ajonialtemburgo']"
248,a ç i k a,"['agica', 'ágica']"
249,a ð a,"['hada', 'ada', 'azda']"
250,a ð a l e n a,"['addalena', 'adalena']"
251,a ð a m,"['addam', 'adam']"
252,a ð a s,"['adas', 'hadas']"
253,a ð a ð,"['adat', 'addad']"
254,a ð c i s i θ j o n,"['adquisición', 'dquisición']"
255,a ð e,"['hade', 'ade']"
256,a ð e n,"['adden', 'aden']"
257,a ð e n t̪ ɾ o,"['adentro', 'adentró']"
258,a ð e o,"['adeo', 'addeo']"
259,a ð i s o n,"['ddison', 'adison']"
260,a ð j a,"['ahdia', 'adia']"
261,a ð j o s,"['adios', 'adiós']"
262,a ð m i n t̪ o n,"['adminton', 'ádminton']"
263,a ð m o s f e ɾ a,"['atmósfera', 'tmósfera']"
264,a ð o k,"['haddock', 'addock']"
265,a ð ɾ a s,"['adrás', 'adras']"
266,a ð ʝ a θ e n t̪ e,"['adyacente', 'dyacente']"
267,a ŋ k a,"['anca', 'anka']"
268,a ŋ k t̪,"['ancte', 'ankt']"
269,a ŋ ɡ,"['ang', 'hang']"
270,a ŋ ɡ a i,"['hanghái', 'hanghai']"
271,a ŋ ɡ a n i k a,"['anganika', 'anganica']"
272,a ŋ ɡ u l o,"['ngulo', 'ángulo']"
273,a ɣ,"['ag', 'abc']"
274,a ɣ a,"['haga', 'aga']"
275,a ɣ a n,"['agan', 'hagan']"
276,a ɣ c i,"['acky', 'ackie']"
277,a ɣ n a,"['agna', 'acna']"
278,a ɣ o,"['ago', 'hago']"
279,a ɣ s,"['ags', 'axe']"
280,a ɣ s i,"['axi', 'haanxi']"
281,a ɣ s o n,"['axon', 'axón']"
282,a ɣ w a,"['agua', 'água']"
283,a ɲ c i n,"['ankín', 'ankin']"
284,a ɲ c i s,"['ankees', 'anquis']"
285,a ɲ j a,"['hania', 'ania']"
286,a ɲ ç e l,"['ángel', 'angel']"
287,a ɲ ç e l e s,"['ángeles', 'ngeles']"
288,a ɲ ç e ɾ,"['anger', 'ánger']"
289,a ɾ a i s o,"['araiso', 'araíso']"
290,a ɾ a k,"['arak', 'arack']"
291,a ɾ a n,"['arán', 'harán']"
292,a ɾ a n a,"['araná', 'arana']"
293,a ɾ a o n a,"['araona', 'arahona']"
294,a ɾ a s,"['harás', 'aras', 'haras']"
295,a ɾ a t̪ e,"['árate', 'arate']"
296,a ɾ e,"['hare', 'are', 'haré']"
297,a ɾ e a,"['area', 'área']"
298,a ɾ e m o s,"['aremos', 'haremos']"
299,a ɾ i,"['ari', 'ahri']"
300,a ɾ i a,"['aría', 'ariah', 'haría']"
301,a ɾ i a n,"['harían', 'arían']"
302,a ɾ i a s,"['harías', 'arías']"
303,a ɾ i n,"['arín', 'arin']"
304,a ɾ i n a,"['arina', 'harina']"
305,a ɾ i n a s,"['arinas', 'harinas']"
306,a ɾ i n e,"['arianne', 'arine']"
307,a ɾ i n o,"['arino', 'arinho']"
308,a ɾ i s,"['aris', 'arís']"
309,a ɾ j o,"['ario', 'aario']"
310,a ɾ o,"['aro', 'haro']"
311,a ɾ o n,"['haron', 'arón', 'aron']"
312,a ɾ o n i,"['aroni', 'aroní']"
313,a ɾ u,"['arú', 'aru']"
314,a ɾ u n,"['arun', 'arún']"
315,a ɾ θ e l,"['arcel', 'árcel']"
316,a ɾ θ e l o,"['arcelo', 'arceló']"
317,a ɾ θ e l o n a,"['arcelonaa', 'arcelona']"
318,a ɾ θ i a,"['arcía', 'arcia']"
319,a ʃ,"['alsh', 'ash', 'hash']"
320,a ʎ a n,"['allahan', 'hallan']"
321,a ʎ a s,"['allás', 'allas']"
322,a ʎ a ð a,"['hallada', 'allada']"
323,a ʎ i,"['allie', 'allí']"
324,a ʝ a m o s,"['ayamos', 'hayamos']"
325,a ʝ a s,"['ayas', 'hayas']"
326,a ʝ e,"['aye', 'aggie']"
327,a ʝ e ɾ,"['hayer', 'ayer']"
328,a ʝ i,"['agi', 'agy']"
329,a ʝ o,"['ayo', 'ayó']"
330,a ʝ u ð a ɾ a n,"['ayudarán', 'ayudaran']"
331,a ʝ u ð o,"['ayudó', 'ayudo']"
332,a β a l,"['abal', 'aval']"
333,a β a l a,"['abala', 'avala']"
334,a β a n a,"['abana', 'avannah']"
335,a β a n d̪ o n o,"['abandono', 'abandonó']"
336,a β a n i,"['abbani', 'avani']"
337,a β a s,"['habás', 'habas', 'avas']"
338,a β a t̪,"['abatt', 'abbath']"
339,a β a ð,"['abad', 'abat']"
340,a β a ɾ o,"['avreau', 'ávaro', 'avaro']"
341,a β a ʎ o,"['avallo', 'aballo']"
342,a β e i,"['avey', 'bbey']"
343,a β e i s,"['habéis', 'abéis']"
344,a β e l,"['avel', 'abel']"
345,a β e n,"['aben', 'aven']"
346,a β e n a,"['avena', 'abena', 'ávena']"
347,a β e s,"['abes', 'aves']"
348,a β e ɾ o,"['avreau', 'avero', 'abero']"
349,a β i,"['abi', 'aby', 'avy']"
350,a β i a,"['había', 'abía', 'avía']"
351,a β i a n,"['abían', 'habían']"
352,a β i l,"['hábil', 'ábil']"
353,a β i l i ð a ð,"['abilidad', 'habilidad']"
354,a β i l i ð a ð e s,"['habilidades', 'abilidades']"
355,a β i s,"['abis', 'avis']"
356,a β i t̪ a,"['habita', 'abita']"
357,a β i t̪ a n,"['abitan', 'habitan']"
358,a β i t̪ a n t̪ e s,"['abitantes', 'habitantes']"
359,a β i t̪ a t̪,"['habitat', 'hábitat']"
360,a β i t̪ a t̪ s,"['ábitats', 'hábitats']"
361,a β i t̪ a β a n,"['abitaban', 'habitaban']"
362,a β i t̪ o,"['ábito', 'habitó', 'hábito']"
363,a β i t̪ o s,"['ábitos', 'hábitos']"
364,a β i t̪ w a l m e n t̪ e,"['habitualmente', 'abitualmente']"
365,a β i ð o,"['ávido', 'habido']"
366,a β j a,"['abia', 'avia', 'habia']"
367,a β j e n d̪ o,"['habiendo', 'abiendo']"
368,a β j o,"['abio', 'avio']"
369,a β l a,"['habla', 'abla']"
370,a β l a n d̪ o,"['ablando', 'hablando']"
371,a β l a s,"['hablas', 'ablas']"
372,a β l a ð a,"['ablada', 'hablada']"
373,a β l a ɾ,"['ablar', 'hablar']"
374,a β l a β a,"['hablaba', 'ablaba']"
375,a β l e,"['hable', 'able']"
376,a β l e s,"['ables', 'hables']"
377,a β l o,"['habló', 'ablo', 'hablo']"
378,a β o,"['avo', 'havo', 'abo']"
379,a β o k,"['avoc', 'avok']"
380,a β o n,"['abón', 'avón']"
381,a β u,"['aboo', 'abu']"
382,a β u s o,"['abusó', 'abuso']"
383,a β u ɾ,"['abur', 'avour']"
384,a β ɾ a,"['habrá', 'abrá', 'abra']"
385,a β ɾ a s,"['abras', 'habrás']"
386,a β ɾ a θ o,"['abrazo', 'abrazó']"
387,a β ɾ i a,"['abría', 'habría']"
388,a β ɾ i a n,"['habrían', 'abrían']"
389,a θ a n,"['azan', 'azán']"
390,a θ c e θ,"['azquez', 'ázquez']"
391,a θ e,"['ace', 'aze', 'hace']"
392,a θ e m o s,"['acemos', 'hacemos']"
393,a θ e n,"['acen', 'hacen']"
394,a θ e n d̪ a ð o,"['acendado', 'hacendado']"
395,a θ e r c e,"['acerque', 'acerqué']"
396,a θ e ɾ,"['hacer', 'azer', 'acer']"
397,a θ e β t̪ o,"['acepto', 'aceptó']"
398,a θ i a,"['hacía', 'acía']"
399,a θ i a m o s,"['hacíamos', 'acíamos']"
400,a θ i l o,"['aciló', 'acilo']"
401,a θ i ð a,"['ácida', 'acida']"
402,a θ i ð o,"['ácido', 'acido']"
403,a θ j a,"['hacia', 'acia']"
404,a θ j e n d̪ a,"['hacienda', 'acienda']"
405,a θ j e n d̪ o,"['haciendo', 'aciendo']"
406,a θ j o,"['acio', 'ació']"
407,b a,"['ba', 'va']"
408,b a i l o,"['bailo', 'bailó']"
409,b a l e,"['ballet', 'vale']"
410,b a r k o,"['barco', 'barcó']"
411,b a s,"['bas', 'vas', 'bats']"
412,b a s c e ð β o l,"['basquetbol', 'básquetbol']"
413,b a s o,"['basó', 'vaso']"
414,b a s t̪ a,"['vasta', 'basta']"
415,b a s t̪ o,"['vasto', 'basto']"
416,b a t̪ j o,"['batió', 'vatio']"
417,b a u t̪ i θ o,"['bautizo', 'bautizó']"
418,b a x o,"['bajó', 'bajo']"
419,b a ɾ,"['bar', 'var']"
420,b a ɾ i t̪ a,"['varita', 'barita']"
421,b a ɾ j o,"['varió', 'bario']"
422,b a ɾ o n e s,"['barones', 'varones']"
