,phone,word
125,a n d ə s ʁ ɛ ɟ iː ʁ ʊ ŋ,"['andesregierung', 'undesregierung']"
127,a n d ɛ s ts ɛ n t ʁ aː l ə,"['andeszentrale', 'undeszentrale']"
128,a n d ɪ,"['andi', 'andhi']"
129,a n d ʁ aː t,"['andrad', 'andrat']"
130,a n eː l n̩,"['anälen', 'arnelen', 'aneelen']"
131,a n h aj m,"['anheim', 'annheim']"
132,a n j a,"['anja', 'anya']"
133,a n j ə,"['anie', 'anyo']"
134,a n k ʁ a ts,"['ankratz', 'ankraz']"
135,a n kʰ ə,"['anke', 'ancke']"
136,a n s,"['anns', 'ans']"
137,a n t,"['andt', 'ant', 'and']"
138,a n t n aː m ə,"['andnahme', 'andname']"
139,a n t s,"['ands', 'ants']"
140,a n t v ɔ ʁ tʰ n̩,"['antworten', 'eantworten']"
141,a n t ʁ a,"['antra', 'antera']"
142,a n t ʁ aː t,"['andrad', 'antrat']"
143,a n t ʃ t ʁ aː s ə,"['antstraße', 'andstraße']"
144,a n t ʃ uː,"['andschu', 'andschuh']"
145,a n ts,"['anz', 'antz']"
146,a n ts n̩,"['antzen', 'anzen']"
147,a n ts ɐ,"['antzer', 'anzer']"
148,a n tʰ aj,"['andei', 'antai']"
149,a n tʰ ɐ,"['anter', 'anther']"
150,a n z ɔ n,"['anson', 'ansochen']"
151,a n ɐ,"['aner', 'anner', 'atner']"
152,a n ɔ,"['anno', 'ano']"
153,a n ɔ n,"['anon', 'annon']"
154,a n ɛ t,"['anet', 'annett']"
155,a n ɡ ə ʃ t ʁ eː b n̩,"['angestrebten', 'angestrebt']"
156,a n ɪ k,"['annick', 'anik']"
157,a n ɪ n,"['annin', 'anin']"
158,a n ɪ s,"['anis', 'annis', 'annys']"
159,a n ʃ t a t,"['anstatt', 'annstatt']"
160,a n ʊ s,"['anus', 'annus']"
161,a p l ə,"['able', 'aple']"
162,a p s,"['abs', 'aps', 'ubs']"
163,a p s t,"['apst', 'abst']"
164,a p t,"['abt', 'apt']"
165,a p ʁ iː l ɪ,"['abrieli', 'abrielli']"
166,a p ʁ ɪ,"['apri', 'abri']"
168,a p ʃ t a t,"['apstadt', 'abstadt']"
169,a pʰ aː n,"['appan', 'apan']"
170,a pʰ iː ɐ,"['apier', 'apir']"
171,a pʰ n̩,"['apen', 'appen']"
172,a pʰ ɐ,"['apper', 'uper']"
173,a pʰ ɔ,"['apo', 'upo']"
174,a pʰ ə,"['appe', 'ape']"
175,a pʰ ɪ tʰ eː n,"['apithen', 'apitän']"
176,a pʰ ʊ s,"['appus', 'upus']"
177,a s a,"['assa', 'asa']"
178,a s b a l ʃ p iː l ɐ,"['ußballspieler', 'aseballspieler']"
179,a s b oː l,"['aseball', 'ußball']"
180,a s b oː l s,"['aseballs', 'ußballs']"
181,a s b oː l ʃ t a t j oː n,"['ußballstadion', 'aseballstadion']"
182,a s iː n ɪ,"['assini', 'assinie']"
183,a s l ɐ,"['asler', 'assler']"
184,a s m a n,"['ußmann', 'aßmann']"
185,a s n ɪ ts,"['assnitz', 'aßnitz']"
186,a s n̩,"['ußen', 'asen', 'assen']"
187,a s n̩ t,"['asend', 'assend']"
188,a s t,"['asst', 'ast']"
189,a s t ɛ ɔ ʁ iː,"['aßtheorie', 'astheorie']"
190,a s ɐ,"['asser', 'ußer', 'aser']"
191,a s ɐ d ʁ ʊ k,"['aserdruck', 'asserdruck']"
192,a s ɐ s,"['asers', 'assers']"
193,a s ə,"['ase', 'asse', 'uße']"
194,a s ə n h aj d ə,"['asenheide', 'assenheide']"
196,a s ə ʁ ʊ ŋ,"['aserung', 'ußerung']"
197,a s ɪ,"['assey', 'assy', 'assi']"
198,a s ʃ t ʁ aː s ə,"['assstraße', 'asstraße', 'assstrasse']"
199,a s ʊ ŋ,"['assung', 'rfassung']"
200,a t kʰ ə,"['adke', 'athke']"
201,a ts,"['az', 'atz', 'azz']"
202,a ts a,"['uza', 'aza', 'azza']"
203,a ts n̩,"['azen', 'atzen']"
204,a ts ə,"['atze', 'aze']"
205,a ts ɪ,"['aci', 'umuzi', 'azi']"
206,a tʰ a,"['atta', 'ata']"
207,a tʰ a s,"['atas', 'attas']"
208,a tʰ a ʁ iː n a,"['atharina', 'atarina']"
209,a tʰ aː l ɪ ə,"['athalie', 'atalie']"
210,a tʰ aː n,"['atan', 'athan']"
211,a tʰ eː z oː n,"['atheson', 'attheson']"
212,a tʰ eː ʁ ɪ ŋ,"['athering', 'atering']"
213,a tʰ iː a s,"['atthias', 'athias']"
214,a tʰ oː n,"['oughton', 'aton', 'atton']"
215,a tʰ uː ɐ,"['atour', 'atur']"
216,a tʰ uː ʁ ə,"['ature', 'eature']"
217,a tʰ ɐ,"['eather', 'atter']"
218,a tʰ ɔ ʁ ɪ,"['actory', 'attori']"
219,a tʰ ə,"['athe', 'atte']"
220,a tʰ ə s,"['attes', 'atthes']"
221,a tʰ ɪ,"['eatty', 'atti', 'atty']"
222,a tʰ ɪ s t a,"['atista', 'attista']"
223,a tʰ ʊ,"['atthew', 'athew']"
224,a v iː,"['awaii', 'avie', 'awachi']"
225,a v iː s,"['avies', 'avis']"
226,a v iː ɐ,"['avier', 'uvier']"
227,a v l̩,"['awel', 'avel']"
228,a v ɐ,"['oover', 'aver']"
229,a v ɔ,"['avo', 'avoie']"
230,a v ɔ ʁ t,"['aworth', 'awort']"
231,a v ɛ ɪ,"['awaii', 'avey']"
232,a v ɪ t s,"['avids', 'avits']"
233,a x a ʁ ɔ f,"['acharoff', 'acharow']"
234,a x s,"['achs', 'ags']"
235,a x s t,"['agst', 'achst']"
236,a x t,"['agd', 'acht']"
237,a z aː n,"['assan', 'asan']"
238,a z l̩,"['asel', 'assel']"
239,a z ɪ,"['asi', 'assy', 'assi']"
240,a z ɪ l ɪ kʰ a,"['asilica', 'asilika']"
241,a z ɪ ŋ,"['assing', 'asing']"
242,a ç n̩,"['uchen', 'achen']"
243,a ç n̩ t,"['uchend', 'achend']"
244,a ŋ,"['ang', 'ünndarm']"
245,a ŋ k,"['ank', 'unk']"
246,a ŋ kʰ ɐ,"['ancker', 'anker']"
248,a ŋ l a d ɛ ʃ,"['angladesch', 'angladesh']"
249,a ɛ k,"['aec', 'aek']"
250,a ɟ iː,"['agie', 'aggie']"
251,a ɟ iː ɐ t,"['ngagiert', 'agiert', 'eagiert']"
252,a ɟ ɪ,"['agy', 'aggi']"
253,a ɡ aː n,"['agan', 'aggan']"
254,a ɡ oː n,"['aggon', 'agon']"
255,a ɡ ɐ,"['ager', 'agger']"
256,a ɪ,"['ary', 'aisley']"
257,a ɪ ŋ,"['aching', 'acing']"
258,a ʁ a d iː s,"['aradies', 'aradis']"
259,a ʁ a s,"['aras', 'arras']"
