,phone,word
117,a d n e,"['adner', 'adnées']"
118,a d o l a,"['adawla', 'adaula']"
119,a d u,"['adoue', 'adoux', 'adou']"
120,a d v ɛ ʁ s,"['adverse', 'adverses']"
121,a d v ɛ ʁ s ɛ ʁ,"['adversaires', 'adversaire']"
122,a d y l t,"['adultes', 'adulte']"
123,a d ɑ̃,"['adan', 'adang']"
124,a d ɔ l ɛ s ɑ̃,"['adolescents', 'adolescent']"
125,a d ɔ n,"['adone', 'adonne', 'adones']"
126,a d ɔ p s j ɔ̃,"['adoption', 'adoptions']"
127,a d ɔ p t,"['adopte', 'adoptent']"
128,a d ɔ p t i f,"['adoptifs', 'adoptif']"
129,a d ɔ p t ɑ̃,"['adoptant', 'adoptants']"
130,a d ɔ s e,"['adossé', 'adossée', 'adossés']"
131,a d ɔ ʁ a b l,"['adorables', 'adorable']"
132,a d ɔ ʁ e,"['adorer', 'adoré']"
133,a d ɛ j,"['addei', 'addeï']"
134,a d ɛ l,"['adel', 'adell', 'adele']"
135,a d ɛ p t,"['adeptes', 'adepte']"
136,a d ʁ,"['adres', 'adre', 'adressait']"
137,a d ʁ o,"['adro', 'adero']"
138,a d ʁ ɑ,"['adreas', 'adras']"
139,a d ʁ ɑ̃,"['adran', 'adressant']"
140,a d ʁ ɛ,"['adreit', 'adressait']"
141,a d ʁ ɛ s,"['adresses', 'adresse']"
142,a d ʁ ɛ s e,"['adressée', 'adressé', 'adresser']"
143,a dʒ,"['adj', 'adge', 'hadj']"
144,a dʒ a s ɑ̃,"['adjacents', 'adjacent']"
145,a dʒ a s ɑ̃ t,"['adjacentes', 'adjacente']"
146,a dʒ i,"['adjid', 'adji']"
147,a dʒ i k,"['adjikes', 'adjiks']"
148,a dʒ w a ɲ,"['adjoignent', 'sadjoignent']"
149,a dʒ w ɛ̃,"['adjoint', 'adjoints', 'sadjoint']"
150,a dʒ y d ɑ̃,"['adjudants', 'adjudant']"
151,a dʒ y v ɑ̃,"['adjuvants', 'adjuvant']"
152,a dʒ ɛ k t i f,"['adjectifs', 'adjectif']"
153,a e ʁ e,"['aéré', 'aérées', 'aérés']"
154,a e ʁ j ɛ n,"['aériennes', 'aérienne']"
155,a e ʁ j ɛ̃,"['aériens', 'aérien']"
156,a e ʁ ɔ b i,"['aérobies', 'aérobie']"
157,a e ʁ ɔ d i n a m i k,"['aérodynamique', 'aérodynamiques']"
158,a e ʁ ɔ d ʁ ɔ m,"['aérodrome', 'aérodromes']"
159,a e ʁ ɔ k l œ b,"['aéroclub', 'aéroclubs']"
160,a e ʁ ɔ n o t i k,"['aéronautique', 'aéronautiques']"
161,a e ʁ ɔ n ɛ f,"['aéronef', 'aéronefs']"
162,a e ʁ ɔ p l a n,"['aéroplane', 'aéroplanes']"
163,a e ʁ ɔ p ɔ ʁ,"['eusaéroport', 'aéroports', 'aéroport']"
164,a e ʁ ɔ p ɔ ʁ t e,"['aéroportées', 'aéroporté']"
165,a f a,"['afsa', 'afa', 'affa']"
166,a f a m e,"['affamées', 'affamé', 'affamés']"
167,a f a ɛ l,"['aphaël', 'aphaëlle', 'aphael']"
168,a f a ʁ,"['afare', 'afar', 'aafar']"
169,a f e,"['afé', 'afez']"
170,a f i n,"['affines', 'affine']"
171,a f i n e,"['affiné', 'affinées', 'affiner']"
172,a f i t,"['affite', 'affitte', 'afitte']"
173,a f i ʁ,"['haffir', 'afir']"
174,a f i ʁ m,"['affirment', 'affirme', 'saffirme']"
175,a f i ʁ m a s j ɔ̃,"['affirmation', 'affirmations']"
176,a f i ʁ m ɑ̃,"['saffirmant', 'affirmant']"
177,a f i ʁ m ɛ,"['affirmaient', 'affirmait']"
178,a f i ʃ,"['affiche', 'affiches', 'affichent']"
179,a f i ʃ a ʒ,"['affichage', 'affichages']"
180,a f i ʃ ɛ,"['affichait', 'affichaient']"
181,a f i ʎ e,"['affiliés', 'affilié', 'affiliée']"
182,a f j a,"['affiat', 'afia']"
